,timestamp,donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_2024,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,contas_con_beneficios_adicionales,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,trabajo_de,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,en_los_ultimos_6_meseshubo_reduccion_de_personal,la_recomendas_como_un_buen_lugar_para_trabajar,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,institucion_educativa,salir_o_seguir_contestando_sobre_las_guardias,tenes_guardias,cuanto_cobras_por_guardia,aclara_el_numero_que_ingresaste_en_el_campo_anterior,salir_o_seguir_contestando_sobre_estudios,tengo_edad,genero,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,cuales_consideras_que_son_las_mejores_empresas_de_it_para_trabajar_en_este_momento_en_tu_ciudad,sueldo_dolarizado,seniority
487,5/5/2024 15:45:58,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3100000.0,100000.0,Cobro parte del salario en dólares,,No,No recibo bono,No,0.0,No tuve,3,"Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,6,2,2,0.0,"Docker, Kubernetes","Groovy, Java, Python, Scala","Akka, Spring","Cassandra, ElasticSearch, PostgreSQL, Redis",JUnit,De 2001a 5000 personas,100% remoto,0,"No, y se justifica desde el lado de la empresa con que el ajuste salarial se da debido a que nuestro sueldo está pactado en dolares al oficial",Sí,6,1,Responder sobre guardias,Universitario,En curso,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,Terminar encuesta,"Sí, activa",0.0,Bruto,Responder sobre mis estudios,27,Hombre Cis,Sí,,True,Senior
488,5/5/2024 15:47:55,San Juan,Full-Time,Staff (planta permanente),2679252.0,2304908.0,Cobro parte del salario en dólares,"1040,89",Menos de un sueldo,Performance individual,Uno,35.0,Enero,3,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,"No, estoy muy conforme.",Developer,3,0,3,0.0,"Amazon Web Services, Docker","Go, Java, Python, SQL","Spring, Javalin","MySQL, Oracle, Redis","JUnit, Postman",Más de 10000 personas,100% remoto,0,"Si, cada 6 meses aumento por inflacion",No sé,9,1,Terminar encuesta,,,,,,,,,,32,Hombre Cis,Sí,,True,Semi-Senior
489,5/5/2024 16:06:32,Buenos Aires,Full-Time,Staff (planta permanente),1700000.0,1411000.0,Cobro parte del salario en dólares,890,No,No recibo bono,No,0.0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,3,2,2,0.0,"Azure, Docker, Kubernetes",".NET, C#",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server","NUnit, Xunit",De 5001 a 10000 personas,100% remoto,0,,No sé,8,2,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Informática,,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,34,Hombre Cis,Sí,"Globant, Global Logic, PedidosYa",True,Semi-Senior
490,5/5/2024 17:46:02,Buenos Aires,Full-Time,Staff (planta permanente),709800.0,595850.0,,,No,No recibo bono,Dos,56.0,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas",1,"Sí, estoy buscando activamente.",Data Scientist,3,0,0,0.0,"Amazon Web Services, Docker, IBM Cloud / Watson, Linux",Python,Ninguno de los anteriores,"Amazon RDS/Aurora, IBM Db2, PostgreSQL",Postman,De 101 a 200 personas,Híbrido (presencial y remoto),1,Veniamos con ajustes por IPC pero el ultimo trimestre se redujo un 10% por problemas internos y de clientes,Sí,4,3,Responder sobre guardias,Universitario,En curso,Ingeniería Electrónica,,Terminar encuesta,"Sí, pasiva",250000.0,Bruto,Responder sobre mis estudios,28,Hombre Cis,Sí,"Mercado Libre, Santander, Galicia",False,Semi-Senior
491,5/5/2024 19:54:35,Córdoba,Full-Time,Staff (planta permanente),5300000.0,4000000.0,Cobro todo el salario en dólares,1000,No,No recibo bono,No,0.0,No tuve,3,Clases de idiomas,3,"No, pero escucho ofertas.",Technical Leader,8,0,3,0.0,"Amazon Web Services, Docker, Kubernetes","Go, Java, SQL","Hibernate, Spring","Amazon DynamoDB, MySQL, Redis","JUnit, Postman",De 101 a 200 personas,100% remoto,0,no,No,8,3,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,,,,,31,Mujer Cis,Sí,ninguna,True,Senior
492,5/5/2024 22:15:32,Río Negro,Full-Time,Staff (planta permanente),1.0,465050.0,Mi sueldo está dolarizado (pero cobro en moneda local),Nose no me dicen,No,No recibo bono,Dos,37.0,Mayo,1,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",1,"No, pero escucho ofertas.",SysAdmin / DevOps / SRE,9,0,0,0.0,"Amazon Web Services, Docker, Linux, Mainframe, Serverless, VMWare, Windows Server","Bash/Shell, PHP, Python, SQL",Django,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, MariaDB, Microsoft SQL Server, MongoDB, MySQL, ProxySQL, Redis",Visual Studio Coded UI,De 11  a 50  personas,100% remoto,0,Si ,Sí,0,3,Responder sobre mis estudios,Terciario,En curso,Tecnicatura Superior en Seguridad informatica ,,Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,31,Hombre Cis,Sí,,True,Senior
493,5/6/2024 9:24:50,Buenos Aires,Full-Time,Staff (planta permanente),4100000.0,3000000.0,,,De uno a tres sueldos,Mix de las anteriores,Tres,71.0,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Estacionamiento gratuito / subvencionado, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,5,2,4,0.0,Ninguna de las anteriores,Swift,SwiftUI,Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,"Si, por inflación, normalmente eran trimestrales, pero en 2024, fueron bimestrales.",No sé,9,0,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,29,Hombre Cis,Sí,"Naranja X, Santander Tecnología, Despegar.",False,Semi-Senior
494,5/6/2024 10:00:32,Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1419187.0,1197925.0,,,No,No recibo bono,Uno,45.0,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Cuota para universidad / posgrados, Horarios flexibles",3,"No, pero escucho ofertas.",QA / Tester,5,3,5,0.0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Microsoft SQL Server,"Cucumber, Cypress, Postman, Robot framework",De 201 a 500 personas,100% remoto,0,"Si, en diciembre y marzo.",No sé,8,0,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas,UAI - Universidad Abierta Interamericana,Terminar encuesta,,,,,27,Mujer Cis,Sí,,False,Semi-Senior
495,5/6/2024 10:01:21,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1012400.0,984720.0,Cobro parte del salario en dólares,,No,No recibo bono,Uno,15.0,Marzo,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",2,"No, pero escucho ofertas.",Developer,5,2,1,0.0,"Amazon Web Services, Docker","CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, jQuery, Laravel, Next.js, Node.js, React.js, Symfony","MongoDB, MySQL, PostgreSQL",Jest,De 201 a 500 personas,100% remoto,0,Cada 2 meses por inflación,Sí,7,3,Terminar encuesta,,,,,,,,,,28,Hombre Cis,Sí,,True,Semi-Senior
496,5/6/2024 12:04:47,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,3000000.0,,,Un sueldo,Mix de las anteriores,Uno,50.0,Mayo,3,Horarios flexibles,3,"No, pero escucho ofertas.",Technical Leader,10,5,4,5.0,"Azure, Docker, Windows Server",".NET, C#, CSS, HTML, Javascript, Python, SQL",".NET Core, Bootstrap",Microsoft SQL Server,"NUnit, Xunit",De 201 a 500 personas,Híbrido (presencial y remoto),1,,No,7,2,Responder sobre mis estudios,Maestría,En curso,Ingeniería en Computación,,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,37,Hombre Cis,No,,False,Senior
497,5/6/2024 14:18:05,Córdoba,Full-Time,Staff (planta permanente),1600000.0,1200000.0,,,No,No recibo bono,Uno,60.0,Marzo,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",SysAdmin / DevOps / SRE,20,1,8,2.0,"Azure, Docker, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MongoDB, MySQL",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),2,solo por inflacion,Sí,3,3,Terminar encuesta,,,,,,,,,,43,Hombre Cis,Sí,,False,Senior
498,5/6/2024 14:19:10,Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),640000.0,530000.0,,,No,No recibo bono,No,0.0,No tuve,1,"Abono de Internet, Ninguna de las anteriores",1,"No, pero escucho ofertas.",Infosec,2,0,2,0.0,"Azure, Kubernetes, Linux, SAP, Windows Server",SQL,SAP,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,Sí,0,0,Terminar encuesta,,,,,,,,,,24,Hombre Cis,Sí,Mercado libre ,False,Junior
499,5/6/2024 14:19:22,Santa Fe,Full-Time,Staff (planta permanente),3700000.0,2900000.0,Cobro parte del salario en dólares,,No,No recibo bono,Más de tres,150.0,Mayo,3,"Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,21,6,6,0.0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Python, SQL",Django,"ElasticSearch, PostgreSQL",pytest,De 201 a 500 personas,100% remoto,0,,Sí,8,1,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Computación,,Responder sobre guardias,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,36,Hombre Cis,Sí,"Satellogic, Mercado Libre",True,Senior
500,5/6/2024 14:20:20,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2000000.0,2000000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",4,"No, estoy muy conforme.",Developer,3,3,1,0.0,"Amazon Web Services, Firebase, Google Cloud Platform","CSS, HTML, Javascript, TypeScript","Angular, Bootstrap, Node.js, React.js","Google Cloud Storage, MySQL, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,No,Sí,10,1,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Informática,UNLaM - Universidad Nacional de La Matanza,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,22,Hombre Cis,Sí,Braintly,True,Semi-Senior
501,5/6/2024 14:21:27,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2350000.0,2000000.0,Cobro parte del salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad / posgrados, Vacaciones flexibles (adicionales a las reglamentarias)",1,"Sí, estoy buscando activamente.",Developer,6,3,0,0.0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Java, Python","Flask, FastAPI","PostgreSQL, Redis","JUnit, Pytest",De 1001 a 2000 personas,100% remoto,0,,Sí,2,5,Responder sobre guardias,Universitario,En curso,Ingeniería en Software,UADE - Universidad Argentina De la Empresa,Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,25,Mujer Cis,Sí,,True,Senior
502,5/6/2024 14:22:27,Buenos Aires,Full-Time,Staff (planta permanente),1004400.0,860000.0,,,No,No recibo bono,Uno,9.0,Abril,3,"Abono de Internet, Fijo por abono internet (cubre menos de la mitad)",3,"Sí, estoy buscando activamente.",Developer,0,0,0,0.0,"Linux, OpenStack","Bash/Shell, Javascript","Next.js, Node.js, React.js","MariaDB, MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,"Mensual, según inflación, a partir del segundo mes de contratación ",No sé,8,2,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Informática,Universidad Siglo 21,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,49,Hombre Cis,No,,False,Junior
503,5/6/2024 14:29:03,Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),750000.0,620000.0,,,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Developer,1,0,1,0.0,Mainframe,"COBOL, SQL",Ninguno de los anteriores,IBM Db2,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,Si. Cada 3 meses pero se atrasaron con el pago este mes,No sé,6,0,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Informática,,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,31,Hombre Cis,Sí,,False,Junior
504,5/6/2024 14:29:25,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1020000.0,918000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,Horarios flexibles,2,"No, pero escucho ofertas.",Business Analyst,1,0,0,0.0,"Ninguna de las anteriores, Figma, MAT","Python, SQL",Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),0,,No,10,0,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,Terminar encuesta,,,,,23,Hombre Cis,No,,True,Junior
505,5/6/2024 14:37:05,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3900000.0,2600000.0,,,3+ sueldos,Performance individual,Dos,35.0,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Technical Leader,10,4,0,2.0,"Docker, Kubernetes, Linux, OpenShift",".NET, C#, Javascript, SQL",".NET Core, Node.js, React.js","MongoDB, Oracle","Jest, Xunit",De 2001a 5000 personas,100% remoto,0,,No,7,0,Terminar encuesta,,,,,,,,,,40,Hombre Cis,Sí,,False,Senior
506,5/6/2024 14:52:25,Córdoba,Full-Time,Contractor,3700000.0,3200000.0,Cobro parte del salario en dólares,859,No,No recibo bono,No,0.0,No tuve,2,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",UX Designer,20,1,1,0.0,Ninguna de las anteriores,"CSS, HTML",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,No,Sí,9,2,Terminar encuesta,,,,,,,,,,40,Hombre Cis,Sí,,True,Senior
507,5/6/2024 14:53:29,Buenos Aires,Full-Time,Staff (planta permanente),7850000.0,5500000.0,,,3+ sueldos,Mix de las anteriores,Más de tres,47.0,Marzo,4,"Abono de celular, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos, Auto compañia",3,"No, pero escucho ofertas.",Manager / Director,30,2,2,10.0,Ninguna de las anteriores,Ninguno de los anteriores,"Ninguno de los anteriores, JDE",Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),3,Si. Ajuste de mercado para todos los empleados por debajo del 80% de su banda,Sí,9,3,Terminar encuesta,,,,,,,,,,50,Hombre Cis,Sí,"Mercado Libre, YPF,  Danone,  Bancos",False,Senior
508,5/6/2024 15:01:04,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,700000.0,600000.0,,,No,No recibo bono,Uno,8.0,Mayo,2,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",Developer,1,1,1,0.0,Azure,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap",Microsoft SQL Server,Ninguna de las anteriores,De 2001a 5000 personas,100% presencial,0,si,Sí,5,2,Terminar encuesta,,,,,,,,,,23,Hombre Cis,No,,False,Junior
509,5/6/2024 15:03:39,Córdoba,Full-Time,Contractor,2163200.0,2163200.0,Cobro todo el salario en dólares,1040,No,No recibo bono,No,0.0,No tuve,4,Capacitaciones y/o cursos,3,"No, pero escucho ofertas.",SysAdmin / DevOps / SRE,1,1,1,0.0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux, Serverless, Windows Server","Bash/Shell, Javascript, Python, SQL, TypeScript","Angular, Bootstrap, Next.js, Node.js, React.js","Amazon RDS/Aurora, Microsoft Azure (Tables, CosmosDB, SQL, etc), PostgreSQL, Redis",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,Sí,6,5,Terminar encuesta,,,,,,,,,,30,Hombre Cis,No,,True,Junior
510,5/6/2024 15:05:47,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100000.0,970000.0,,,No,No recibo bono,Dos,20.0,Abril,2,"Abono de celular, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",SysAdmin / DevOps / SRE,20,8,10,0.0,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,SI,No,5,2,Terminar encuesta,,,,,,,,,,52,Hombre Cis,Sí,,False,Senior
511,5/6/2024 16:25:09,Buenos Aires,Full-Time,Staff (planta permanente),1200000.0,1000000.0,,,No,No recibo bono,Uno,60.0,Febrero,3,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas",3,"Sí, estoy buscando activamente.",SysAdmin / DevOps / SRE,10,15,10,0.0,"SAP, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),2,trimestral por inflacion,Sí,3,0,Responder sobre guardias,Universitario,Incompleto,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Terminar encuesta,"Sí, pasiva",0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,39,Hombre Cis,No,,False,Senior
512,5/6/2024 17:31:20,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6000000.0,,Cobro todo el salario en dólares,,De uno a tres sueldos,Tenure,No,0.0,No tuve,4,Descuento en gimnasios / Clases de gimnasia online,4,"No, estoy muy conforme.",Developer,5,3,3,0.0,"Amazon Web Services, Docker","Bash/Shell, HTML, TypeScript","Node.js, React.js",SQLite,Cypress,De 201 a 500 personas,100% remoto,0,,Sí,7,2,Terminar encuesta,,,,,,,,,,26,Hombre Cis,Sí,,True,Semi-Senior
513,5/6/2024 17:55:37,Santa Fe,Full-Time,Staff (planta permanente),2250000.0,1800000.0,,,No,No recibo bono,Más de tres,69.0,Mayo,4,Abono de celular,3,"No, pero escucho ofertas.",VP / C-Level,1,7,1,6.0,Linux,"Java, Javascript, Python, SQL",Ninguno de los anteriores,"MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),4,Inflación,No,9,3,Terminar encuesta,,,,,,,,,,33,Hombre Cis,No,,False,Junior
514,5/6/2024 19:18:10,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000.0,1600000.0,,,No,No recibo bono,No,0.0,No tuve,3,"Horarios flexibles, Ninguna de las anteriores",3,"No, estoy muy conforme.",Consultant,17,0,17,0.0,SAP,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,,No,7,0,Responder sobre guardias,Terciario,Incompleto,Analista de Sistemas,ESBA - Escuela Superior Buenos Aires,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,45,Hombre Cis,Sí,,False,Senior
515,5/6/2024 19:25:01,Córdoba,Full-Time,Freelance,4800000.0,4800000.0,Cobro todo el salario en dólares,1050,No,No recibo bono,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Horarios flexibles",2,"Sí, estoy buscando activamente.",Consultant,15,2,4,6.0,"Linux, Windows Server","Bash/Shell, Groovy, Javascript, Python, SQL",Ninguno de los anteriores,"Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,No,Sí,8,5,Terminar encuesta,,,,,,,,,,39,Hombre Cis,Sí,,True,Senior
516,5/6/2024 19:29:37,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1614155.0,1339749.0,,,De uno a tres sueldos,Mix de las anteriores,Tres,50.0,Marzo,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Estacionamiento gratuito / subvencionado, Horarios flexibles",2,"No, pero escucho ofertas.",SysAdmin / DevOps / SRE,8,18,8,0.0,"SAP, VMWare, Windows Server",Ninguno de los anteriores,SAP,Microsoft SQL Server,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),2,No,No,7,0,Responder sobre guardias,Posgrado/Especialización,Completo,Tecnicatura Superior en Sistemas Informáticos,UTN - Universidad Tecnológica Nacional,Terminar encuesta,No,0.0,Bruto,Responder sobre mis estudios,40,Hombre Cis,Sí,,False,Senior
517,5/6/2024 19:31:16,Santa Fe,Full-Time,Staff (planta permanente),1958713.18,1649991.0,,,No,No recibo bono,Más de tres,35.0,Mayo,4,"Capacitaciones y/o cursos, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,15,5,5,0.0,"Docker, Linux","Bash/Shell, Javascript, PHP, SQL","jQuery, Symfony, WordPress","MariaDB, MySQL","PHPUnit, Postman",De 101 a 200 personas,100% remoto,0,"Si. Hubo ajustes de sueldo desde diciembre, todos los meses",Sí,7,3,Terminar encuesta,,,,,,,,,,46,Hombre Cis,Sí,,False,Senior
518,5/6/2024 20:02:18,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000.0,1150000.0,,,No,No recibo bono,Uno,56.0,Marzo,3,"Abono de Internet, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias), Días libres extra + día de cumpleaños",3,"No, pero escucho ofertas.",UX Designer,4,1,4,0.0,Figma,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,No,10,0,Responder sobre mis estudios,Terciario,Completo,Diseño Multimedial,Escuela Da Vinci,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,34,Mujer Cis,Sí,,False,Semi-Senior
519,5/6/2024 20:13:21,Córdoba,Full-Time,Staff (planta permanente),1235418.0,1025397.0,,,No,No recibo bono,Uno,75.0,Febrero,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",2,"No, pero escucho ofertas.",Scrum Master,2,3,1,8.0,SAP,ABAP,"SAP, SAP Hana",HANA,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,No,Sí,5,1,Terminar encuesta,,,,,,,,,,34,Hombre Cis,Sí,,False,Junior
520,5/6/2024 20:50:06,Buenos Aires,Full-Time,Contractor,780000.0,780000.0,,,No,No recibo bono,Dos,78.0,Abril,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,1,1,1,0.0,"Docker, Linux","Bash/Shell, Javascript, PHP, Python, SQL, TypeScript","Node.js, React.js, WordPress, Vtex, Odoo","MariaDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,Si,Sí,8,1,Responder sobre mis estudios,Universitario,Incompleto,,UBA - Universidad de Buenos Aires,Terminar encuesta,,,,,31,Hombre Cis,Sí,,False,Junior
521,5/6/2024 20:56:47,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000.0,1281000.0,,,No,No recibo bono,Uno,25.0,Abril,2,"Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",2,"Sí, estoy buscando activamente.",Developer,5,0,2,0.0,"Azure, Docker, Firebase, Linux","CSS, HTML, Javascript, SQL, TypeScript","Next.js, Node.js, React.js",MariaDB,Jest,De 51 a 100 personas,100% remoto,0,"Si, pero mucho menores a la inflación ",No sé,6,3,Responder sobre mis estudios,Universitario,Completo,Licenciatura en Sistemas,UNNNE - Universidad Nacional del Nordeste,Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,Terminar encuesta,30,Hombre Cis,Sí,,False,Semi-Senior
